BioguideID	Courtesy	Title	FirstName	Middle/Nick	LastName	Suffix	Room/Bldg	City	State	Zip+4	State/District	Party
C001097	Mr.	The Honorable	Tony		Cárdenas		1510 Longworth House Office Building	Washington	DC	20515-0529	CA29	D
C001072	Mr.	The Honorable	André		Carson		2135 Rayburn House Office Building	Washington	DC	20515-1407	IN07	D
C001103	Mr.	The Honorable	Earl	"L. ""Buddy"""	Carter		432 Cannon House Office Building	Washington	DC	20515-1001	GA01	R
C001051	Mr.	The Honorable	John	R.	Carter		2110 Rayburn House Office Building	Washington	DC	20515-4331	TX31	R
C001090	Mr.	The Honorable	Matt		Cartwright		1034 Longworth House Office Building	Washington	DC	20515-3817	PA17	D
C001066	Ms.	The Honorable	Kathy		Castor		2052 Rayburn House Office Building	Washington	DC	20515-0914	FL14	D
C001091	Mr.	The Honorable	Joaquin		Castro		1221 Longworth House Office Building	Washington	DC	20515-4320	TX20	D
C000266	Mr.	The Honorable	Steve		Chabot		2371 Rayburn House Office Building	Washington	DC	20515-3501	OH01	R
C001076	Mr.	The Honorable	Jason		Chaffetz		2236 Rayburn House Office Building	Washington	DC	20515-4403	UT03	R
C001109	Ms.	The Honorable	Liz		Cheney		416 Cannon House Office Building	Washington	DC	20515-5000	WY00	R
C001080	Ms.	The Honorable	Judy		Chu		2423 Rayburn House Office Building	Washington	DC	20515-0527	CA27	D
C001084	Mr.	The Honorable	David	N.	Cicilline		2244 Rayburn House Office Building	Washington	DC	20515-3901	RI01	D
C001101	Ms.	The Honorable	Katherine	M.	Clark		1415 Longworth House Office Building	Washington	DC	20515-2105	MA05	D
C001067	Ms.	The Honorable	Yvette	D.	Clarke		2058 Rayburn House Office Building	Washington	DC	20515-3209	NY09	D
C001049	Mr.	The Honorable	Wm.	Lacy	Clay		2428 Rayburn House Office Building	Washington	DC	20515-2501	MO01	D
C001061	Mr.	The Honorable	Emanuel		Cleaver		2335 Rayburn House Office Building	Washington	DC	20515-2505	MO05	D
C000537	Mr.	The Honorable	James	E.	Clyburn		242 Cannon House Office Building	Washington	DC	20515-4006	SC06	D
C001077	Mr.	The Honorable	Mike		Coffman		2443 Rayburn House Office Building	Washington	DC	20515-0606	CO06	R
C001068	Mr.	The Honorable	Steve		Cohen		2404 Rayburn House Office Building	Washington	DC	20515-4209	TN09	D
C001053	Mr.	The Honorable	Tom		Cole		2467 Rayburn House Office Building	Washington	DC	20515-3604	OK04	R
C001092	Mr.	The Honorable	Chris		Collins		1117 Longworth House Office Building	Washington	DC	20515-3227	NY27	R
C001093	Mr.	The Honorable	Doug		Collins		1504 Longworth House Office Building	Washington	DC	20515-1009	GA09	R
C001108	Mr.	The Honorable	James		Comer		1513 Longworth House Office Building	Washington	DC	20515-1701	KY01	R
C001105	Mrs.	The Honorable	Barbara		Comstock		229 Cannon House Office Building	Washington	DC	20515-4610	VA10	R
C001062	Mr.	The Honorable	K.	Michael	Conaway		2430 Rayburn House Office Building	Washington	DC	20515-4311	TX11	R
C001078	Mr.	The Honorable	Gerald	E.	Connolly		2238 Rayburn House Office Building	Washington	DC	20515-4611	VA11	D
C000714	Mr.	The Honorable	John		Conyers	Jr.	2426 Rayburn House Office Building	Washington	DC	20515-2213	MI13	D
C001094	Mr.	The Honorable	Paul		Cook		1222 Longworth House Office Building	Washington	DC	20515-0508	CA08	R
C000754	Mr.	The Honorable	Jim		Cooper		1536 Longworth House Office Building	Washington	DC	20515-4205	TN05	D
C001110	Mr.	The Honorable	J.	Luis	Correa		1039 Longworth House Office Building	Washington	DC	20515-0546	CA46	D
C001059	Mr.	The Honorable	Jim		Costa		2081 Rayburn House Office Building	Washington	DC	20515-0516	CA16	D
C001106	Mr.	The Honorable	Ryan	A.	Costello		326 Cannon House Office Building	Washington	DC	20515-3806	PA06	R
C001069	Mr.	The Honorable	Joe		Courtney		2348 Rayburn House Office Building	Washington	DC	20515-0702	CT02	D
C001096	Mr.	The Honorable	Kevin		Cramer		1717 Longworth House Office Building	Washington	DC	20515-3400	ND00	R
C001087	Mr.	The Honorable	Eric	"A. ""Rick"""	Crawford		2422 Rayburn House Office Building	Washington	DC	20515-0401	AR01	R
C001111	Mr.	The Honorable	Charlie		Crist		427 Cannon House Office Building	Washington	DC	20515-0913	FL13	D
C001038	Mr.	The Honorable	Joseph		Crowley		1035 Longworth House Office Building	Washington	DC	20515-3214	NY14	D
C001063	Mr.	The Honorable	Henry		Cuellar		2209 Rayburn House Office Building	Washington	DC	20515-4328	TX28	D
C001048	Mr.	The Honorable	John	Abney	Culberson		2161 Rayburn House Office Building	Washington	DC	20515-4307	TX07	R
C000984	Mr.	The Honorable	Elijah	E.	Cummings		2163 Rayburn House Office Building	Washington	DC	20515-2007	MD07	D
C001107	Mr.	The Honorable	Carlos		Curbelo		1404 Longworth House Office Building	Washington	DC	20515-0926	FL26	R
D000626	Mr.	The Honorable	Warren		Davidson		1004 Longworth House Office Building	Washington	DC	20515-3508	OH08	R
D000096	Mr.	The Honorable	Danny	K.	Davis		2159 Rayburn House Office Building	Washington	DC	20515-1307	IL07	D
D000619	Mr.	The Honorable	Rodney		Davis		1740 Longworth House Office Building	Washington	DC	20515-1313	IL13	R
D000598	Mrs.	The Honorable	Susan	A.	Davis		1214 Longworth House Office Building	Washington	DC	20515-0553	CA53	D
D000191	Mr.	The Honorable	Peter	A.	DeFazio		2134 Rayburn House Office Building	Washington	DC	20515-3704	OR04	D
D000197	Ms.	The Honorable	Diana		DeGette		2111 Rayburn House Office Building	Washington	DC	20515-0601	CO01	D
D000620	Mr.	The Honorable	John	K.	Delaney		1632 Longworth House Office Building	Washington	DC	20515-2006	MD06	D
D000216	Ms.	The Honorable	Rosa	L.	DeLauro		2413 Rayburn House Office Building	Washington	DC	20515-0703	CT03	D
D000617	Ms.	The Honorable	Suzan	K.	DelBene		2442 Rayburn House Office Building	Washington	DC	20515-4701	WA01	D
D000627	Mrs.	The Honorable	Val	Butler	Demings		238 Cannon House Office Building	Washington	DC	20515-0910	FL10	D
D000612	Mr.	The Honorable	Jeff		Denham		1730 Longworth House Office Building	Washington	DC	20515-0510	CA10	R
D000604	Mr.	The Honorable	Charles	W.	Dent		2082 Rayburn House Office Building	Washington	DC	20515-3815	PA15	R
D000621	Mr.	The Honorable	Ron		DeSantis		1524 Longworth House Office Building	Washington	DC	20515-0906	FL06	R
D000623	Mr.	The Honorable	Mark		DeSaulnier		115 Cannon House Office Building	Washington	DC	20515-0511	CA11	D
D000616	Mr.	The Honorable	Scott		DesJarlais		2301 Rayburn House Office Building	Washington	DC	20515-4204	TN04	R
D000610	Mr.	The Honorable	Theodore	E.	Deutch		2447 Rayburn House Office Building	Washington	DC	20515-0922	FL22	D
D000600	Mr.	The Honorable	Mario		Diaz-Balart		440 Cannon House Office Building	Washington	DC	20515-0925	FL25	R
D000624	Mrs.	The Honorable	Debbie		Dingell		116 Cannon House Office Building	Washington	DC	20515-2212	MI12	D
D000399	Mr.	The Honorable	Lloyd		Doggett		2307 Rayburn House Office Building	Washington	DC	20515-4335	TX35	D
D000625	Mr.	The Honorable	Daniel	M.	Donovan	Jr.	1541 Longworth House Office Building	Washington	DC	20515-3211	NY11	R
D000482	Mr.	The Honorable	Michael	F.	Doyle		239 Cannon House Office Building	Washington	DC	20515-3814	PA14	D
D000614	Mr.	The Honorable	Sean	P.	Duffy		2330 Rayburn House Office Building	Washington	DC	20515-4907	WI07	R
D000615	Mr.	The Honorable	Jeff		Duncan		2229 Rayburn House Office Building	Washington	DC	20515-4003	SC03	R
D000533	Mr.	The Honorable	John	J.	Duncan	Jr.	2207 Rayburn House Office Building	Washington	DC	20515-4202	TN02	R
D000628	Mr.	The Honorable	Neal	P.	Dunn		423 Cannon House Office Building	Washington	DC	20515-0902	FL02	R
E000288	Mr.	The Honorable	Keith		Ellison		2263 Rayburn House Office Building	Washington	DC	20515-2305	MN05	D
E000294	Mr.	The Honorable	Tom		Emmer		315 Cannon House Office Building	Washington	DC	20515-2306	MN06	R
E000179	Mr.	The Honorable	Eliot	L.	Engel		2462 Rayburn House Office Building	Washington	DC	20515-3216	NY16	D
E000215	Ms.	The Honorable	Anna	G.	Eshoo		241 Cannon House Office Building	Washington	DC	20515-0518	CA18	D
E000297	Mr.	The Honorable	Adriano		Espaillat		1630 Longworth House Office Building	Washington	DC	20515-3213	NY13	D
E000293	Ms.	The Honorable	Elizabeth	H.	Esty		221 Cannon House Office Building	Washington	DC	20515-0705	CT05	D
E000296	Mr.	The Honorable	Dwight		Evans		1105 Longworth House Office Building	Washington	DC	20515-3802	PA02	D
F000460	Mr.	The Honorable	Blake		Farenthold		2331 Rayburn House Office Building	Washington	DC	20515-4327	TX27	R
